id,source_id,target_id,relationship_type,relation_category,notes
1,1,2,spouse,immediate,"Married since 2005"
2,1,3,father,immediate,"Biological father"
3,1,4,father,immediate,"Biological father"
4,2,3,mother,immediate,"Biological mother"
5,2,4,mother,immediate,"Biological mother"
6,5,6,spouse,immediate,"Married since 2000"
7,5,7,father,immediate,"Biological father"
8,5,8,father,immediate,"Biological father"
9,6,7,mother,immediate,"Biological mother"
10,6,8,mother,immediate,"Biological mother"
11,5,1,step-father,step,"Step-relation through remarriage"
12,1,9,father,adoptive,"Adopted in 2018"
13,2,9,mother,adoptive,"Adopted in 2018"
14,10,5,father,extended,"Paternal grandfather"
15,3,4,sibling,immediate,"Siblings"
16,7,8,sibling,immediate,"Siblings"
